Reporter,Partner,Product categories,Parent,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Australia,World,Transportation,Consumer goods,Export,Export Product share(%),0.86,1.13,1.33,1.39,1.56,2.14,2.31,1.97,1.88,1.89,1.56,1.73,1.99,2.87,3.11,2.99,3.91,4.15,5.2,5.64,4.51,4.16,5.07,4.03,4.55,3.68,3.31,2.92,3.58,3.17,2.89,2.67,2.41,2.08
Australia,Special Categories,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52,11.2,10.72,12.49,11.69,9.26
Australia,United Kingdom,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,4.16,4.54,5.25,5.83,5.32,5.93,6.3,6.34,5.94,5.91,5.63,5.89,6.14,6.88,6.64,7.38
Australia,World,Capital goods,Capital goods,Import,Import Product share(%),32.94,33.51,32.7,31.98,32.27,31.87,31.6,30.24,30.17,32.38,30.24,30.48,31.13,30.85,32.8,33.45,34.3,35.35,35.26,35.84,34.56,36.71,38.5,37.3,38.67,39.94,40.04,39.14,37.42,36.17,38.32,39.17,39.2,37.64
Australia,...,...,Miscellaneous,Development,Trade Balance (% of GDP),,3.85,2.51,0.38,0.59,-2.28,-1.52,-0.43,-1.3,-0.25,0.97,-1.03,0.21,-2.55,-1.64,-1.82,-2.74,-2.71,-2.11,-0.01,0.09,-2.16,-2.45,-0.88,0.27,-0.45,-1.97,-0.52,-0.32,0.27,-0.13,-1.93,-1.83,-0.66
Australia,World,Food Products,Food Products,Export,Export Product share(%),1.51,2.19,2.19,2.42,2.64,2.72,2.39,1.81,1.84,1.85,1.79,2.12,2.52,2.25,3.11,3.09,3.58,4.31,4.39,3.9,3.41,3.32,3.6,2.97,4.73,4.75,5.1,5.18,4.33,3.63,3.43,3.93,4.22,4.15
Australia,China,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,27.85,28.64,25.48,24.23,21.88,23.36,23.13,20.59,19.3,18.36,18.55,18.84,17.64,15.75,15.65,14.59,13.85,12.85,11.04,10.04,8.75,7.78,6.5,5.97,5.62,5.19,4.92,,,,,,,
Australia,World,All Products,All Products,Tariff,Duty Free Tariff Lines Share (%),60.54,59.84,58.46,54.05,53.4,53,49.56,49.24,49.71,49.87,48.95,48.58,42.47,45.77,45.52,47.37,41.09,41.14,41.32,41.43,38.47,31.08,31.4,30.85,31.2,31.44,,,37.77,,32.04,,,
Australia,Singapore,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,,6.41,5.32,,,
Australia,World,Metals,Raw materials,Export,Export Product share(%),3.68,3.88,4.24,4.68,4.45,4.62,5.31,5.37,5.09,5.39,5.89,6.18,6.33,7.65,10.46,9.6,7.85,8.41,8.4,8.96,9.18,9.9,9.71,9.32,9.23,9.71,11.37,10.2,10.16,10.59,10.98,11.53,12.23,11.97
Australia,China,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,34.15,37.47,32.89,29.13,29.7,31.64,32.49,33.86,34.63,29.6,27.39,25.34,21.7,14.57,14.14,12.45,11.6,9.36,8.43,7.01,6.19,5.45,,,,,,,,,,,,
Australia,World,Wood,Raw materials,Export,Export Product share(%),0.63,0.8,1.01,1.17,1.23,1.35,1.28,1.07,0.95,0.93,1,1.19,1.24,1.3,1.6,1.55,1.72,2.06,2.12,1.98,1.73,1.79,1.93,1.74,1.8,1.79,1.86,1.78,1.77,1.58,1.69,1.55,1.62,1.75
Australia,World,Intermediate goods,Consumer goods,Export,Export Product share(%),12.98,15.45,15.73,16.55,16.73,18.34,17.98,15.92,15.79,16.82,16.53,17.63,20.02,20.49,24.62,22.93,20.08,22.23,23.28,23.46,24.18,25.3,26.54,28.66,27.35,29.37,32.21,30.76,30.57,30.31,29.79,31.42,31.44,30.21
